method,quadrant,n_blobs,l_eff,pts_per_dim,grid_pts,nfev,median_err,max_err,acc_0.25,gflops,wall_s
adaptive (learned $\ell_{eff}$),UL: many large,8,0.8408408408408409,12,144,138,0.035965521022910216,0.083196819621809,1.0,0.03905410469230096,0.05208563199266791
adaptive (learned $\ell_{eff}$),UR: many small,45,0.42042042042042044,24,576,873,0.04547566531310466,3.664464171300921,0.9777777777777777,0.28056375138703576,0.4238543100655079
adaptive (learned $\ell_{eff}$),LL: few large,3,1.1561561561561562,10,100,54,0.012883909919470261,0.015217938846384279,1.0,0.01993886432132748,0.0402062782086432
adaptive (learned $\ell_{eff}$),LR: few small,4,0.43543543543543545,24,576,75,0.014225027433988487,0.02062616767488697,1.0,0.08778366244924797,0.07740910025313497
single fine (measured kernel),UL: many large,8,0.42042042042042044,24,576,147,0.014171836624466855,0.03869178889330503,1.0,0.10586370415792055,0.14224779373034835
single fine (measured kernel),UR: many small,45,0.42042042042042044,24,576,873,0.04547566531310466,3.664464171300921,0.9777777777777777,0.28056375138703576,0.7388092861510813
single fine (measured kernel),LL: few large,3,0.42042042042042044,24,576,66,0.003486461703103365,0.004865164883501443,1.0,0.08438260123566389,0.09843526082113385
single fine (measured kernel),LR: few small,4,0.42042042042042044,24,576,78,0.014178645389216786,0.021871900596026013,1.0,0.08815664552044267,0.07957786181941628
single fine (spectral content),UL: many large,8,0.09,112,12544,132,0.014171844187140577,0.03869153967179574,1.0,1.9238730994879683,1.7600593022070825
single fine (spectral content),UR: many small,45,0.09,112,12544,726,0.04547606488884778,3.664463857183939,0.9777777777777777,3.8365988835845175,4.018557425588369
single fine (spectral content),LL: few large,3,0.09,112,12544,51,0.00348647750248242,0.004865163084447886,1.0,1.6653059165657116,1.4576481729745865
single fine (spectral content),LR: few small,4,0.09,112,12544,66,0.014178239367940819,0.021871748384180833,1.0,1.716870159921685,1.5217827279120684
